filename,area_px,area_m2,coverage_pct,centroid_x,centroid_y,perimeter_px,perimeter_m,orientation_deg,spread_ratio,num_components,compactness,mean_intensity,max_intensity,std_intensity,density_score,risk_score,risk_level,risk_factors
patch_0.tif,21,5.25,0.03,226,60,24.14,12.0711,89.89,1.799,9,0.03603,1.0,1.0,0.0,1.0,39.0,MEDIUM,"coverage 0.03% → MINIMAL (<2%) | spread_ratio 1.799 → LOW (<2, compact shape) | components 9 → CRITICAL (>=5, fragmented spill) | density 1.0 → CRITICAL (>=0.95)"
patch_1.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_10.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_100.tif,2,0.5,0.0,141,4,2.0,1.0,0.0,7071.068,1,0.5,1.0,1.0,0.0,1.0,43.0,MEDIUM,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 7071.068 → CRITICAL (>=10, highly elongated) | components 1 → LOW (1, single blob) | density 1.0 → CRITICAL (>=0.95)"
patch_101.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_102.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_103.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_104.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_105.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_106.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
